customer_id,gender,age,income,years_customer,clothing_spend,accessories_spend,footwear_spend,preferred_channel,region
1,F,34.00,58000,5.2,150,45,80,online,northeast
2,M,42.00,72000,8.7,95,25,120,store,midwest
3,F,28.00,45000,2.1,210,85,105,online,west
4,M,55.00,95000,12.5,180,115,135,store,southeast
5,F,39.00,68000,6.8,250,95,90,online,midwest
6,M,31.00,52000,3.5,75,20,195,online,west
7,F,45.00,82000,9.2,185,125,110,store,northeast
8,M,36.00,59000,4.7,120,35,160,online,southeast
9,F,50.00,93000,11.3,280,150,95,store,midwest
10,M,29.00,48000,2.9,95,30,210,online,west
11,F,41.00,76000,7.4,230,110,85,store,northeast
12,M,33.00,61000,4.1,115,40,175,online,southeast
13,F,48.00,89000,10.2,255,135,100,store,midwest
14,M,26.00,43000,1.8,85,25,230,online,west
15,F,37.00,65000,5.9,220,105,95,store,northeast
16,M,52.00,98000,11.8,160,80,150,store,southeast
17,F,31.00,51000,3.2,190,75,100,online,midwest
18,M,44.00,78000,8.5,130,50,185,store,west
19,F,27.00,47000,2.3,205,90,105,online,northeast
20,M,40.00,69000,6.2,125,45,160,store,southeast
21,F,46.00,84000,9.5,260,140,105,store,midwest
22,M,30.00,49000,3.1,90,30,200,online,west
23,F,38.00,67000,6.4,235,115,95,online,northeast
24,M,53.00,96000,12.1,170,90,145,store,southeast
25,F,32.00,53000,3.8,215,85,110,online,midwest
26,M,43.00,76000,8.3,140,55,170,store,west
27,F,29.00,48000,2.5,195,80,100,online,northeast
28,M,51.00,91000,11.7,155,75,155,store,southeast
29,F,35.00,62000,5.3,245,120,90,online,midwest
30,M,47.00,86000,10.1,145,60,180,store,west
31,F,25.00,42000,1.5,175,70,95,online,northeast
32,M,39.00,68000,6.5,130,50,165,store,southeast
33,F,49.00,91000,10.8,270,145,100,store,midwest
34,M,28.00,47000,2.4,85,25,205,online,west
35,F,44.00,79000,9.1,240,125,90,store,northeast
36,M,32.00,54000,3.7,105,35,175,online,southeast
37,F,50.00,92000,11.5,290,155,95,store,midwest
38,M,27.00,45000,2.2,80,20,190,online,west
39,F,37.00,64000,5.8,225,115,90,store,northeast
40,M,48.00,88000,10.3,150,65,160,store,southeast
41,F,30.00,50000,3.3,200,80,105,online,midwest
42,M,45.00,81000,9.3,135,55,175,store,west
43,F,26.00,44000,1.9,190,75,100,online,northeast
44,M,41.00,71000,7.2,140,60,155,store,southeast
45,F,53.00,95000,12.2,275,145,100,store,midwest
46,M,33.00,55000,4.2,110,35,185,online,west
47,F,38.00,66000,6.6,230,120,95,store,northeast
48,M,52.00,94000,11.6,165,85,150,store,southeast
49,F,29.00,49000,2.7,210,80,105,online,midwest
50,M,44.00,79000,8.9,130,50,190,store,west
51,F,31.00,52000,3.5,205,90,95,online,northeast
52,M,46.00,85000,9.6,145,65,170,store,southeast
53,F,36.00,63000,5.5,255,130,90,online,midwest
54,M,28.00,46000,2.4,90,25,210,online,west
55,F,40.00,70000,7.1,240,120,95,store,northeast
56,M,54.00,97000,12.3,175,95,145,store,southeast
57,F,33.00,54000,4.2,220,90,105,online,midwest
58,M,47.00,86000,10.2,150,70,180,store,west
59,F,27.00,45000,2.3,185,75,100,online,northeast
60,M,42.00,73000,7.8,135,55,165,store,southeast
61,F,49.00,90000,11.1,265,140,100,store,midwest
62,M,32.00,53000,3.6,100,30,195,online,west
63,F,43.00,77000,8.8,235,125,95,store,northeast
64,M,56.00,99000,12.8,180,105,140,store,southeast
65,F,34.00,58000,4.8,225,95,105,online,midwest
66,M,48.00,87000,10.5,155,75,175,store,west
67,F,30.00,49000,3.1,200,80,100,online,northeast
68,M,45.00,80000,9.4,140,60,160,store,southeast
69,F,51.00,94000,11.9,280,150,100,store,midwest
70,M,29.00,48000,2.7,95,25,215,online,west
71,F,39.00,69000,6.9,240,130,90,store,northeast
72,M,55.00,98000,12.7,175,90,145,store,southeast
73,F,35.00,59000,5.1,230,100,105,online,midwest
74,M,46.00,84000,9.7,145,65,175,store,west
75,F,28.00,47000,2.5,195,75,95,online,northeast
76,M,43.00,74000,8.2,135,55,160,store,southeast
77,F,50.00,92000,11.4,275,145,100,store,midwest
78,M,31.00,51000,3.4,105,30,190,online,west
79,F,41.00,72000,7.5,245,125,95,store,northeast
80,M,57.00,100000,13.1,185,110,140,store,southeast
81,F,36.00,62000,5.6,235,105,105,online,midwest
82,M,44.00,78000,9.2,140,65,170,store,west
83,F,29.00,48000,2.8,205,80,100,online,northeast
84,M,47.00,85000,10.3,150,75,155,store,southeast
85,F,52.00,95000,12.1,285,155,100,store,midwest
86,M,32.00,53000,3.7,100,30,200,online,west
87,F,40.00,70000,7.3,250,135,95,store,northeast
88,M,54.00,97000,12.6,180,95,145,store,southeast
89,F,33.00,55000,4.5,220,95,105,online,midwest
90,M,45.00,81000,9.5,145,70,175,store,west
91,F,27.00,46000,2.2,190,75,95,online,northeast
92,M,42.00,73000,8.1,135,60,160,store,southeast
93,F,48.00,89000,11.2,270,140,105,store,midwest
94,M,30.00,50000,3.3,95,25,195,online,west
95,F,38.00,67000,6.7,240,125,90,store,northeast
96,M,56.00,99000,12.9,185,105,140,store,southeast
97,F,34.00,57000,4.9,225,95,105,online,midwest
98,M,49.00,88000,10.7,155,80,170,store,west
99,F,31.00,50000,3.2,205,85,100,online,northeast
100,M,44.00,77000,9.1,140,65,160,store,southeast
